t,x1,y1,vx1,vy1,x2,y2,vx2,vy2,E
0.000000000000000,-0.500000000000000,0.000000000000000,0.000000000000000,-0.500000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.500000000000000,-0.750000000000000
0.001000000000000,-0.500000000000000,-0.000500000000000,0.001000000000000,-0.500000000000000,0.500000000000000,0.000500000000000,-0.001000000000000,0.500000000000000,-0.749998500000375
0.002000000000000,-0.499999000000000,-0.001000000000000,0.001999998500002,-0.499999000001500,0.499999000000000,0.001000000000000,-0.001999998500002,0.499999000001500,-0.749997000001500
0.003000000000000,-0.499997000001500,-0.001499999000002,0.002999996499996,-0.499997000001500,0.499997000001500,0.001499999000002,-0.002999996499996,0.499997000001500,-0.749995499998875
0.004000000000000,-0.499994000005000,-0.001999996000003,0.003999994999944,-0.499993999990000,0.499994000005000,0.001999996000003,-0.003999994999944,0.499993999990000,-0.749993999988000
0.005000000000000,-0.499990000010000,-0.002499989999993,0.004999994999780,-0.499989999950000,0.499990000010000,0.002499989999993,-0.004999994999780,0.499989999950000,-0.749992499964374
0.006000000000000,-0.499985000015000,-0.002999979999943,0.005999997499412,-0.499984999857501,0.499985000015000,0.002999979999943,-0.005999997499412,0.499984999857501,-0.749990999923498
0.007000000000000,-0.499979000017501,-0.003499964999801,0.007000003498722,-0.499978999681500,0.499979000017501,0.003499964999801,-0.007000003498722,0.499978999681500,-0.749989499860870
0.008000000000000,-0.499972000014002,-0.003999943999482,0.008000013997567,-0.499971999383997,0.499972000014002,0.003999943999482,-0.008000013997567,0.499971999383997,-0.749987999771991
0.009000000000000,-0.499964000000005,-0.004499915998866,0.009000029995783,-0.499963998919988,0.499964000000005,0.004499915998866,-0.009000029995783,0.499963998919988,-0.749986499652357
0.010000000000000,-0.499954999970009,-0.004999879997786,0.010000052493181,-0.499954998237468,0.499954999970009,0.004999879997786,-0.010000052493181,0.499954998237468,-0.749984999497468
0.011000000000000,-0.499944999917516,-0.005499834996023,0.011000082489550,-0.499944997277429,0.499944999917516,0.005499834996023,-0.011000082489550,0.499944997277429,-0.749983499302821
