t,x,v
0.176,0.0136975,0.217345
0.177,0.0139169,0.219414
0.178,0.0141384,0.221486
0.179,0.0143619,0.22356
0.18,0.0145876,0.225637
0.181,0.0148153,0.227716
0.182,0.0150451,0.229798
0.183,0.015277,0.231881
0.184,0.0155109,0.233967
0.185,0.015747,0.236055
0.186,0.0159851,0.238144
0.187,0.0162254,0.240236
0.188,0.0164677,0.242328
0.189,0.0167121,0.244422
0.19,0.0169586,0.246518
0.191,0.0172073,0.248614
0.192,0.017458,0.250711
0.193,0.0177108,0.25281
0.194,0.0179657,0.254908
0.195,0.0182227,0.257008
0.196,0.0184818,0.259107
0.197,0.018743,0.261207
0.198,0.0190063,0.263308
0.199,0.0192717,0.265408
0.2,0.0195392,0.267508
0.201,0.0198088,0.269607
0.202,0.0200805,0.271707
0.203,0.0203543,0.273805
0.204,0.0206302,0.275903
0.205,0.0209082,0.278
0.206,0.0211883,0.280096
0.207,0.0214705,0.282191
0.208,0.0217548,0.284285
0.209,0.0220412,0.286377
0.21,0.0223297,0.288468
0.211,0.0226202,0.290557
0.212,0.0229129,0.292644
0.213,0.0232076,0.294729
0.214,0.0235044,0.296812
0.215,0.0238033,0.298893
0.216,0.0241043,0.300971
0.217,0.0244073,0.303047
0.218,0.0247124,0.30512
0.219,0.0250196,0.30719
0.22,0.0253289,0.309258
0.221,0.0256402,0.311322
0.222,0.0259536,0.313383
0.223,0.026269,0.31544
0.224,0.0265865,0.317494
0.225,0.0269061,0.319544
0.226,0.0272277,0.321591
0.227,0.0275513,0.323633
0.228,0.027877,0.325671
0.229,0.0282047,0.327705
0.23,0.0285344,0.329735
0.231,0.0288662,0.33176
0.232,0.0291999,0.33378
0.233,0.0295357,0.335796
0.234,0.0298735,0.337806
0.235,0.0302134,0.339812
0.236,0.0305552,0.341812
0.237,0.030899,0.343807
0.238,0.0312448,0.345796
0.239,0.0315926,0.347779
0.24,0.0319423,0.349757
0.241,0.032294,0.351729
0.242,0.0326477,0.353694
0.243,0.0330034,0.355654
0.244,0.033361,0.357606
0.245,0.0337205,0.359553
0.246,0.034082,0.361493
0.247,0.0344455,0.363425
0.248,0.0348108,0.365351
0.249,0.0351781,0.36727
0.25,0.0355473,0.369182
0.251,0.0359184,0.371086
0.252,0.0362913,0.372982
0.253,0.0366662,0.374871
0.254,0.037043,0.376753
0.255,0.0374216,0.378626
0.256,0.0378021,0.380491
0.257,0.0381844,0.382348
0.258,0.0385686,0.384196
0.259,0.0389547,0.386036
0.26,0.0393425,0.387867
0.261,0.0397322,0.38969
0.262,0.0401237,0.391503
0.263,0.040517,0.393308
0.264,0.0409121,0.395103
0.265,0.041309,0.396889
0.266,0.0417077,0.398666
0.267,0.0421081,0.400432
0.268,0.0425103,0.402189
0.269,0.0429142,0.403937
0.27,0.0433199,0.405674
0.271,0.0437273,0.407401
0.272,0.0441364,0.409117
0.273,0.0445473,0.410823
0.274,0.0449598,0.412519
0.275,0.045374,0.414204
0.276,0.0457899,0.415878
0.277,0.0462074,0.417541
0.278,0.0466266,0.419193
0.279,0.0470474,0.420833
0.28,0.0474699,0.422463
0.281,0.047894,0.42408
0.282,0.0483197,0.425686
0.283,0.0487469,0.427281
0.284,0.0491758,0.428863
0.285,0.0496062,0.430433
0.286,0.0500382,0.431991
0.287,0.0504718,0.433537
0.288,0.0509068,0.43507
0.289,0.0513434,0.436591
0.29,0.0517815,0.438099
0.291,0.0522211,0.439594
0.292,0.0526622,0.441076
0.293,0.0531047,0.442545
0.294,0.0535487,0.444
0.295,0.0539942,0.445443
0.296,0.054441,0.446872
0.297,0.0548893,0.448287
0.298,0.055339,0.449688
0.299,0.0557901,0.451076
0.3,0.0562425,0.45245
0.301,0.0566964,0.453809
0.302,0.0571515,0.455154
0.303,0.057608,0.456485
0.304,0.0580658,0.457801
0.305,0.0585249,0.459103
0.306,0.0589853,0.46039
0.307,0.059447,0.461662
0.308,0.0599099,0.462919
0.309,0.060374,0.464161
0.31,0.0608394,0.465388
0.311,0.061306,0.466599
0.312,0.0617738,0.467795
