t,x,v
0.175,0.013502,0.215735
0.176,0.0137198,0.217807
0.177,0.0139396,0.219883
0.178,0.0141616,0.221961
0.179,0.0143856,0.224042
0.18,0.0146118,0.226126
0.181,0.01484,0.228213
0.182,0.0150703,0.230301
0.183,0.0153027,0.232392
0.184,0.0155372,0.234485
0.185,0.0157737,0.23658
0.186,0.0160124,0.238677
0.187,0.0162532,0.240776
0.188,0.0164961,0.242876
0.189,0.016741,0.244977
0.19,0.0169881,0.24708
0.191,0.0172373,0.249184
0.192,0.0174886,0.251289
0.193,0.017742,0.253395
0.194,0.0179975,0.255501
0.195,0.0182551,0.257608
0.196,0.0185148,0.259716
0.197,0.0187766,0.261824
0.198,0.0190406,0.263932
0.199,0.0193066,0.26604
0.2,0.0195748,0.268148
0.201,0.019845,0.270256
0.202,0.0201174,0.272363
0.203,0.0203919,0.27447
0.204,0.0206684,0.276576
0.205,0.0209471,0.278681
0.206,0.0212279,0.280786
0.207,0.0215108,0.282889
0.208,0.0217958,0.284991
0.209,0.0220829,0.287092
0.21,0.0223721,0.289191
0.211,0.0226633,0.291288
0.212,0.0229567,0.293384
0.213,0.0232522,0.295478
0.214,0.0235498,0.297569
0.215,0.0238494,0.299659
0.216,0.0241512,0.301746
0.217,0.024455,0.30383
0.218,0.0247609,0.305912
0.219,0.0250689,0.307991
0.22,0.025379,0.310067
0.221,0.0256911,0.31214
0.222,0.0260053,0.31421
0.223,0.0263216,0.316277
0.224,0.02664,0.31834
0.225,0.0269603,0.320399
0.226,0.0272828,0.322454
0.227,0.0276073,0.324506
0.228,0.0279339,0.326553
0.229,0.0282625,0.328597
0.23,0.0285931,0.330635
0.231,0.0289258,0.33267
0.232,0.0292605,0.334699
0.233,0.0295972,0.336724
0.234,0.0299359,0.338744
0.235,0.0302767,0.340759
0.236,0.0306195,0.342769
0.237,0.0309642,0.344773
0.238,0.031311,0.346772
0.239,0.0316598,0.348765
0.24,0.0320105,0.350752
0.241,0.0323633,0.352733
0.242,0.032718,0.354709
0.243,0.0330746,0.356678
0.244,0.0334333,0.35864
0.245,0.0337939,0.360596
0.246,0.0341564,0.362546
0.247,0.0345209,0.364488
0.248,0.0348873,0.366424
0.249,0.0352557,0.368353
0.25,0.035626,0.370274
0.251,0.0359982,0.372188
0.252,0.0363722,0.374095
0.253,0.0367482,0.375994
0.254,0.0371261,0.377885
0.255,0.0375059,0.379768
0.256,0.0378875,0.381643
0.257,0.038271,0.38351
0.258,0.0386564,0.385368
0.259,0.0390436,0.387218
0.26,0.0394327,0.38906
0.261,0.0398236,0.390892
0.262,0.0402163,0.392716
0.263,0.0406108,0.394531
0.264,0.0410072,0.396336
0.265,0.0414053,0.398132
0.266,0.0418052,0.399919
0.267,0.0422069,0.401696
0.268,0.0426104,0.403463
0.269,0.0430156,0.40522
0.27,0.0434226,0.406968
0.271,0.0438313,0.408705
0.272,0.0442417,0.410432
0.273,0.0446538,0.412148
0.274,0.0450677,0.413854
0.275,0.0454832,0.415549
0.276,0.0459005,0.417233
0.277,0.0463194,0.418907
0.278,0.04674,0.420569
0.279,0.0471622,0.42222
0.28,0.047586,0.423859
0.281,0.0480115,0.425487
0.282,0.0484386,0.427103
0.283,0.0488673,0.428708
0.284,0.0492976,0.430301
0.285,0.0497295,0.431881
0.286,0.050163,0.433449
0.287,0.050598,0.435005
0.288,0.0510345,0.436549
0.289,0.0514726,0.43808
0.29,0.0519122,0.439598
0.291,0.0523533,0.441104
0.292,0.0527959,0.442596
0.293,0.05324,0.444075
0.294,0.0536855,0.445541
0.295,0.0541325,0.446994
0.296,0.0545809,0.448433
0.297,0.0550308,0.449859
0.298,0.0554821,0.45127
0.299,0.0559347,0.452668
0.3,0.0563888,0.454052
0.301,0.0568442,0.455422
0.302,0.057301,0.456777
0.303,0.0577591,0.458118
0.304,0.0582186,0.459445
0.305,0.0586793,0.460756
0.306,0.0591414,0.462053
0.307,0.0596047,0.463336
0.308,0.0600693,0.464603
0.309,0.0605352,0.465855
0.31,0.0610022,0.467092
0.311,0.0614706,0.468313
0.312,0.0619401,0.469519
0.313,0.0624108,0.470709
0.314,0.0628827,0.471883
0.315,0.0633557,0.473042
0.316,0.0638299,0.474185
0.317,0.0643052,0.475311
0.318,0.0647816,0.476421
0.319,0.0652591,0.477515
0.32,0.0657377,0.478593
0.321,0.0662174,0.479654
0.322,0.0666981,0.480698
0.323,0.0671798,0.481725
0.324,0.0676626,0.482736
0.325,0.0681463,0.483729
0.326,0.068631,0.484705
0.327,0.0691166,0.485664
0.328,0.0696033,0.486606
0.329,0.0700908,0.48753
0.33,0.0705792,0.488437
0.331,0.0710685,0.489326
0.332,0.0715587,0.490197
0.333,0.0720498,0.49105
0.334,0.0725417,0.491885
0.335,0.0730344,0.492702
0.336,0.0735279,0.4935
0.337,0.0740222,0.494281
0.338,0.0745172,0.495042
0.339,0.075013,0.495786
0.34,0.0755095,0.49651
0.341,0.0760067,0.497216
0.342,0.0765046,0.497903
0.343,0.0770032,0.498571
0.344,0.0775024,0.49922
0.345,0.0780023,0.49985
0.346,0.0785027,0.50046
0.347,0.0790038,0.501051
0.348,0.0795054,0.501622
0.349,0.0800076,0.502174
0.35,0.0805103,0.502707
0.351,0.0810135,0.503219
0.352,0.0815172,0.503712
0.353,0.0820214,0.504184
0.354,0.082526,0.504637
0.355,0.0830311,0.505069
0.356,0.0835366,0.505482
0.357,0.0840425,0.505874
0.358,0.0845487,0.506245
0.359,0.0850553,0.506596
0.36,0.0855622,0.506926
0.361,0.0860695,0.507236
0.362,0.086577,0.507525
0.363,0.0870848,0.507793
0.364,0.0875928,0.508039
0.365,0.0881011,0.508265
0.366,0.0886095,0.50847
0.367,0.0891182,0.508654
0.368,0.089627,0.508816
0.369,0.090136,0.508957
0.37,0.090645,0.509076
0.371,0.0911542,0.509174
0.372,0.0916635,0.509251
0.373,0.0921728,0.509305
0.374,0.0926821,0.509338
0.375,0.0931915,0.509349
0.376,0.0937008,0.509338
0.377,0.0942101,0.509305
0.378,0.0947194,0.50925
0.379,0.0952285,0.509173
0.38,0.0957376,0.509073
0.381,0.0962466,0.508951
0.382,0.0967554,0.508807
0.383,0.097264,0.508641
0.384,0.0977725,0.508452
0.385,0.0982807,0.50824
0.386,0.0987887,0.508006
0.387,0.0992965,0.507749
0.388,0.0998039,0.507469
0.389,0.100311,0.507166
0.39,0.100818,0.506841
0.391,0.101324,0.506492
0.392,0.101831,0.50612
0.393,0.102336,0.505726
0.394,0.102842,0.505308
